Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,has_lyrics
3mkE4LX6ozOcvKEC7chB2q,"You, Me, And Whiskey",Stray Dog,"Justin Moore,Priscilla Block",2023-05-05,187941,59,22o5lnwyfofbaefafhryhcdbi,2024-07-29T22:07:15Z,"country,acoustic country","The Valory Music Co., LLC",0.555,0.88,0,-4.351,0,0.0535,0.0803,0.0,0.174,0.422,144.076,4,True
1SjsVdSXpwm1kTdYEHoPIT,Sun to Me,American Heartbreak,Zach Bryan,2022-05-20,163031,77,22o5lnwyfofbaefafhryhcdbi,2024-08-12T01:04:41Z,"country,red dirt",Warner Records,0.505,0.27,9,-9.165,0,0.0333,0.593,0.0,0.133,0.557,98.721,4,True
727x6SZXGF0LfU2vi3rjaH,Darlin',We All Grow Up,Chase Matthew,2024-02-16,165000,63,22o5lnwyfofbaefafhryhcdbi,2024-08-14T03:46:39Z,"country,country hip hop",Chase Matthew Music/Warner Music Nashville,0.798,0.606,2,-6.28,1,0.0338,0.181,0.0,0.391,0.895,120.063,4,True
1osfLqL6L2iQsirRf83ded,Worst Way,Way Out Here,Riley Green,2024-04-12,220558,76,22o5lnwyfofbaefafhryhcdbi,2024-08-14T03:49:44Z,country,Nashville Harbor,0.366,0.492,11,-7.9,1,0.0324,0.0899,0.000994,0.132,0.349,197.768,3,True
3zftDSl1HdBPJek75cQwDE,Sorry Mom,Sorry Mom,Kelsea Ballerini,2024-08-09,215786,47,22o5lnwyfofbaefafhryhcdbi,2024-08-14T03:51:03Z,country,Black River Entertainment,0.732,0.519,1,-7.895,1,0.0292,0.321,0.0,0.329,0.493,121.979,4,True
0gLFZFnaOy3Fa2uBApznuW,Rather Be,Rather Be,Riley Green,2024-07-26,171142,49,22o5lnwyfofbaefafhryhcdbi,2024-08-14T03:54:45Z,country,Nashville Harbor,0.597,0.583,4,-4.31,1,0.0315,0.0247,9.24e-06,0.097,0.813,152.986,4,True
1EdAfme2rPCUkzIYvSucYX,Rust,Rust,Corey Kent,2024-04-19,169720,41,22o5lnwyfofbaefafhryhcdbi,2024-08-14T04:10:42Z,"country,texas country",RCA Records Label Nashville,0.469,0.813,1,-4.875,0,0.0422,0.00714,0.0,0.131,0.406,120.894,4,True
2w4ZM8WjsIyGpmWQ8ZgWhw,Closing Time In California,Closing Time In California,Luke Bryan,2024-08-08,209169,34,22o5lnwyfofbaefafhryhcdbi,2024-08-14T04:16:11Z,"country,acoustic country",Capitol Records Nashville,0.496,0.68,2,-6.773,1,0.0355,0.284,0.000127,0.0653,0.39,80.149,1,True
0BKLYnngsUyaEwWPOJjGxc,Liar,Liar,Jelly Roll,2024-08-09,204933,25,22o5lnwyfofbaefafhryhcdbi,2024-08-14T04:40:41Z,"country hip hop,country",BBR Music Group/Jelly Roll,0.642,0.773,1,-5.233,1,0.0323,0.0468,0.0,0.0901,0.568,114.035,4,True
3z92w2yRpuxxlR11EfJye3,Had Me By Halftime,If I Know Me,Morgan Wallen,2018-04-27,172080,53,22o5lnwyfofbaefafhryhcdbi,2024-08-15T04:05:58Z,country,Big Loud,0.489,0.89,6,-2.94,1,0.0365,0.111,0.0,0.17,0.676,144.092,4,True
4Fq3qtut7HdtxUVnsAEPDd,Redneck Love Song,If I Know Me,Morgan Wallen,2018-04-27,189973,51,22o5lnwyfofbaefafhryhcdbi,2024-08-15T04:06:19Z,country,Big Loud,0.75,0.834,5,-4.849,1,0.031,0.4,0.0,0.0414,0.924,140.034,4,True
67AdiJcurlf6gocGobfaXs,"Going, Going, Gone",Growin' Up,Luke Combs,2022-06-24,177266,74,22o5lnwyfofbaefafhryhcdbi,2024-08-15T04:07:43Z,country,River House Artists/Columbia Nashville,0.565,0.56,6,-6.034,1,0.0275,0.538,0.0,0.0961,0.325,159.931,4,True
12BjylmI6NS7ydikIzbuD0,Single Than She Was,One Thing At A Time,Morgan Wallen,2023-03-03,160347,57,22o5lnwyfofbaefafhryhcdbi,2024-08-15T04:25:40Z,country,Big Loud Records / Mercury Records / Republic Records,0.669,0.641,6,-6.181,1,0.0246,0.0106,5.04e-06,0.09,0.648,113.074,4,True
6kfn5XxnspnDZkQzwCqyyA,If I Ever Get You Back,If I Know Me,Morgan Wallen,2018-04-27,173960,48,22o5lnwyfofbaefafhryhcdbi,2024-08-15T04:58:42Z,country,Big Loud,0.672,0.877,0,-3.338,1,0.0343,0.0137,0.0,0.235,0.962,139.947,4,True
1mUTpDe3E8pML637zOFL5D,Talkin' Tennessee,If I Know Me,Morgan Wallen,2018-04-27,221880,68,22o5lnwyfofbaefafhryhcdbi,2024-08-15T04:58:58Z,country,Big Loud,0.702,0.71,6,-6.653,0,0.0247,0.56,0.0,0.103,0.508,99.987,4,True
6gdLyYNuhWBzqwlOFSsXC7,Better Together,What You See Is What You Get,Luke Combs,2019-11-08,219573,68,22o5lnwyfofbaefafhryhcdbi,2024-09-08T01:02:24Z,country,River House Artists/Columbia Nashville,0.552,0.225,0,-11.501,1,0.0477,0.827,0.0,0.111,0.67,138.002,4,True
7KysI43rsjlhjTeWO6ePUq,It's Five O'Clock Somewhere,Greatest Hits Volume II,"Alan Jackson,Jimmy Buffett",2003-10-09,229800,62,22o5lnwyfofbaefafhryhcdbi,2024-09-08T02:42:57Z,"country,christian country",Arista Nashville,0.714,0.774,2,-6.713,1,0.0367,0.219,0.0,0.203,0.887,125.199,4,True
3zxAw8PaqpeGZ3Pakkxv3J,Without You,What You See Ain't Always What You Get (Deluxe Edition),"Luke Combs,Amanda Shires",2020-10-23,224986,51,22o5lnwyfofbaefafhryhcdbi,2024-09-08T02:49:06Z,"country,americana,alt country",River House Artists/Columbia Nashville,0.522,0.659,6,-6.016,1,0.0304,0.307,0.0,0.102,0.355,141.996,4,True
7c1KTn1z8Gw8ouYdcF4qaG,I Don't Want This Night To End,Tailgates & Tanlines,Luke Bryan,2011-01-01,219973,68,22o5lnwyfofbaefafhryhcdbi,2024-09-08T03:21:20Z,"country,acoustic country",Capitol Nashville,0.616,0.728,9,-4.02,0,0.0278,0.0275,0.0,0.228,0.375,111.934,4,True
586I425aeO3QMzvSZcUOEd,Sleeve,NATE SMITH (DELUXE),Nate Smith,2023-04-28,261359,51,22o5lnwyfofbaefafhryhcdbi,2024-09-08T03:22:57Z,country,RCA Records Label Nashville,0.697,0.787,0,-5.51,1,0.0338,0.0186,0.0,0.167,0.291,125.975,4,True
0sKEilrw1GrBlG6qsTCrP4,865,Dangerous: The Double Album,Morgan Wallen,2021-01-08,190680,64,22o5lnwyfofbaefafhryhcdbi,2024-09-18T00:30:01Z,country,Big Loud / Republic,0.532,0.584,8,-5.254,1,0.0248,0.723,0.0,0.101,0.367,88.003,4,True
3oZ6dlSfCE9gZ55MGPJctc,’98 Braves,One Thing At A Time,Morgan Wallen,2023-03-03,178704,64,22o5lnwyfofbaefafhryhcdbi,2024-09-21T04:23:51Z,country,Big Loud Records / Mercury Records / Republic Records,0.494,0.689,2,-5.724,1,0.0265,0.0687,7.68e-05,0.265,0.472,142.092,4,True
0mYIOzA3XWuqewk2GDtsnP,Spin You Around,Stand Alone (10th Anniversary Deluxe Edition),Morgan Wallen,2024-01-25,212850,72,22o5lnwyfofbaefafhryhcdbi,2024-09-21T04:35:50Z,country,Panacea Records,0.517,0.877,4,-3.621,1,0.0297,0.00142,0.0,0.208,0.614,149.99,4,True
1RvoRAL612adAVrPUoAMHR,Bandaid On A Bullet Hole,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,234333,64,22o5lnwyfofbaefafhryhcdbi,2024-09-21T05:26:09Z,country,Big Loud / Republic,0.543,0.48,2,-6.745,1,0.0301,0.794,0.0,0.119,0.391,154.78,3,True
6kBbetvAHiBSNIpndZBs6W,GIVE HEAVEN SOME HELL,A ROCK,HARDY,2020-09-04,217801,66,22o5lnwyfofbaefafhryhcdbi,2024-09-21T18:41:07Z,"country,country rock",Big Loud,0.639,0.839,11,-4.99,1,0.0364,0.0529,0.0,0.0854,0.528,126.057,4,True
0rCFRyEy4WXjRXNpO80Dzs,Fall In Love,Religiously. The Album.,Bailey Zimmerman,2023-01-11,232058,74,22o5lnwyfofbaefafhryhcdbi,2024-09-22T00:46:16Z,country,Warner Music Nashville/Elektra,0.524,0.643,9,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962,4,True
6guWjUuNYziyNXgjFo1IpF,"Houston, We Got a Problem",This One's for You Too (Deluxe Edition),Luke Combs,2018-06-01,191986,64,22o5lnwyfofbaefafhryhcdbi,2024-09-23T19:46:07Z,country,River House Artists/Columbia Nashville,0.521,0.762,9,-5.059,1,0.0362,0.0961,6.15e-06,0.395,0.486,143.866,4,True
